customer_id,gender,senior_citizen,partner,dependents,tenure_months,contract_type,internet_service,multiple_lines,online_security,tech_support,streaming_tv,paperless_billing,payment_method,monthly_charges,total_charges,churn
CUST-100043,Male,0,Yes,No,23,Month-to-month,DSL,No,No internet service,No internet service,No,Yes,Bank transfer (automatic),47.8,1083.5,1
CUST-100044,Female,0,No,No,44,Month-to-month,Fiber optic,No,Yes,No internet service,Yes,No,Mailed check,90.32,4011.88,1
CUST-100045,Female,0,No,Yes,34,One year,Fiber optic,No,No,No,No,No,Mailed check,74.6,2584.45,0
CUST-100046,Male,0,Yes,Yes,6,Month-to-month,Fiber optic,Yes,No,No,No,No,Credit card (automatic),80.77,529.96,1
CUST-100047,Male,1,No,No,22,Two year,No,No,No,Yes,Yes,Yes,Credit card (automatic),35.47,807.22,0
CUST-100048,Male,0,Yes,No,19,Month-to-month,Fiber optic,No,No,No internet service,Yes,No,Credit card (automatic),74.38,1410.25,0
CUST-100049,Male,0,No,No,24,Month-to-month,DSL,No,No internet service,Yes,Yes,Yes,Credit card (automatic),56.08,1371.33,1
CUST-100050,Male,0,No,Yes,67,Month-to-month,Fiber optic,No,No,Yes,Yes,Yes,Mailed check,84.02,5643.67,1
CUST-100051,Female,0,Yes,No,33,One year,Fiber optic,No,No,Yes,Yes,Yes,Bank transfer (automatic),85.85,2857.56,1
CUST-100052,Female,0,Yes,No,23,Month-to-month,Fiber optic,Yes,No,No internet service,No,No,Bank transfer (automatic),77.43,1783.51,1
CUST-100053,Male,0,No,Yes,48,One year,DSL,Yes,No internet service,No,Yes,No,Credit card (automatic),57.02,2755.36,0
CUST-100054,Female,0,No,Yes,32,Month-to-month,DSL,Yes,No,No,No,Yes,Bank transfer (automatic),60.08,1966.04,0
CUST-100055,Female,0,Yes,No,21,One year,No,No,Yes,No internet service,No,Yes,Electronic check,25.05,566.69,0
CUST-100056,Female,0,No,Yes,30,One year,Fiber optic,Yes,No,No,No,No,Bank transfer (automatic),87.63,2641.54,0
CUST-100057,Female,1,Yes,No,69,Month-to-month,DSL,Yes,Yes,No,Yes,Yes,Electronic check,70.44,4872.59,0
CUST-100058,Male,0,Yes,No,5,Two year,Fiber optic,No,No internet service,No,No,No,Mailed check,58.44,290.25,0
CUST-100059,Female,0,Yes,No,71,Month-to-month,Fiber optic,Yes,Yes,No,No internet service,No,Electronic check,76.27,5412.78,0
CUST-100060,Male,0,No,No,57,Two year,DSL,Yes,No,No,No,Yes,Credit card (automatic),57.7,3306.89,0
CUST-100061,Male,0,No,No,55,One year,Fiber optic,No,No,No internet service,Yes,Yes,Credit card (automatic),88.0,4839.24,0
CUST-100062,Male,0,Yes,No,3,One year,DSL,No,No,No,Yes,No,Electronic check,53.23,137.8,1
CUST-100063,Male,0,Yes,No,44,Month-to-month,DSL,No,Yes,No internet service,Yes,No,Bank transfer (automatic),57.86,2540.87,0
CUST-100064,Female,1,Yes,No,15,One year,Fiber optic,No,No,No internet service,Yes,Yes,Electronic check,82.89,1222.74,0
CUST-100065,Male,1,Yes,Yes,13,Month-to-month,Fiber optic,Yes,No internet service,Yes,No,No,Credit card (automatic),83.37,1064.75,1
CUST-100066,Male,0,No,Yes,43,Month-to-month,DSL,Yes,No,No internet service,Yes,Yes,Mailed check,66.44,2865.85,1
CUST-100067,Male,0,No,No,34,One year,DSL,Yes,Yes,No,No,Yes,Electronic check,59.51,1987.79,0
CUST-100068,Female,0,No,No,16,Two year,No,Yes,No internet service,Yes,Yes,No,Electronic check,40.6,643.18,0
CUST-100069,Female,0,Yes,No,21,Two year,Fiber optic,No,No,Yes,No internet service,Yes,Electronic check,73.11,1532.32,0
CUST-100070,Female,0,No,No,22,Month-to-month,No,No,Yes,No,No internet service,Yes,Credit card (automatic),38.86,826.83,0
CUST-100071,Male,0,Yes,No,61,Month-to-month,DSL,Yes,Yes,Yes,No internet service,Yes,Credit card (automatic),67.72,4113.79,0
CUST-100072,Female,0,No,No,37,Month-to-month,No,No,No internet service,Yes,No,No,Mailed check,32.37,1194.89,0
CUST-100073,Male,1,No,No,20,Two year,Fiber optic,Yes,No,Yes,Yes,Yes,Bank transfer (automatic),83.38,1640.28,0
CUST-100074,Male,1,No,No,51,One year,Fiber optic,No,No,No,Yes,Yes,Bank transfer (automatic),70.69,3608.72,0
CUST-100075,Male,0,Yes,No,30,Month-to-month,No,No,No,No,Yes,Yes,Electronic check,32.57,1022.62,1
CUST-100076,Female,0,No,No,0,Two year,No,No,No internet service,No internet service,Yes,Yes,Bank transfer (automatic),26.74,0.0,0
CUST-100077,Female,1,No,No,14,Month-to-month,Fiber optic,No,Yes,No internet service,Yes,Yes,Mailed check,78.19,1088.53,1
CUST-100078,Female,0,Yes,Yes,71,Month-to-month,No,No,No internet service,No,No,No,Mailed check,27.15,1930.08,0
CUST-100079,Male,0,No,Yes,8,Two year,No,No,No internet service,No internet service,No,No,Credit card (automatic),23.78,183.81,0
CUST-100080,Female,1,No,No,52,Month-to-month,Fiber optic,Yes,No internet service,No,Yes,No,Electronic check,78.7,4108.55,1
CUST-100081,Male,0,No,Yes,49,Month-to-month,Fiber optic,Yes,No internet service,Yes,No internet service,Yes,Credit card (automatic),94.98,4655.97,1
CUST-100082,Female,0,No,Yes,15,One year,Fiber optic,No,No,No,Yes,Yes,Bank transfer (automatic),88.84,1342.65,0
CUST-100083,Female,1,Yes,No,20,Month-to-month,Fiber optic,Yes,Yes,Yes,No internet service,Yes,Electronic check,92.41,1871.39,1
CUST-100084,Male,0,No,No,43,Month-to-month,No,Yes,No,No internet service,No internet service,Yes,Credit card (automatic),21.17,920.59,0
CUST-100085,Female,0,Yes,Yes,38,One year,DSL,No,Yes,No,No,Yes,Credit card (automatic),56.0,2109.06,0
CUST-100086,Female,0,No,No,37,Two year,Fiber optic,Yes,Yes,No internet service,No,No,Electronic check,83.63,3063.73,0
CUST-100087,Female,0,No,No,38,Month-to-month,Fiber optic,No,Yes,Yes,Yes,Yes,Electronic check,93.45,3539.91,1
CUST-100088,Female,0,No,No,11,Two year,Fiber optic,No,No,No internet service,No,No,Mailed check,72.89,796.03,0
CUST-100089,Female,0,No,Yes,43,Month-to-month,DSL,No,Yes,Yes,Yes,No,Credit card (automatic),63.59,2739.49,1
CUST-100090,Male,0,No,No,22,Month-to-month,Fiber optic,No,No internet service,No,Yes,Yes,Mailed check,67.23,1501.67,1
CUST-100091,Female,0,Yes,No,65,Two year,DSL,No,Yes,No,Yes,No,Mailed check,60.71,3962.08,0
CUST-100092,Male,0,No,No,62,Month-to-month,Fiber optic,Yes,No internet service,No,No internet service,No,Bank transfer (automatic),80.67,5057.81,1
CUST-100093,Male,1,Yes,No,28,Two year,Fiber optic,No,Yes,No internet service,No internet service,No,Electronic check,76.84,2169.73,0
CUST-100094,Male,0,No,No,30,Month-to-month,No,No,No,Yes,No,No,Mailed check,32.48,993.22,0
CUST-100095,Female,1,Yes,No,10,Month-to-month,DSL,Yes,No,No,No internet service,Yes,Electronic check,57.13,564.36,1
CUST-100096,Female,0,No,Yes,65,Month-to-month,Fiber optic,No,No,No,No,Yes,Electronic check,84.17,5491.75,1
CUST-100097,Female,0,Yes,No,0,Month-to-month,No,No,Yes,No internet service,No,Yes,Bank transfer (automatic),32.45,0.21,1
CUST-100098,Female,0,No,No,48,Month-to-month,DSL,No,Yes,No,Yes,Yes,Bank transfer (automatic),60.93,2914.27,1
CUST-100099,Female,0,No,Yes,44,Month-to-month,Fiber optic,No,No,Yes,No,Yes,Credit card (automatic),73.83,3291.41,1
CUST-100100,Female,0,Yes,Yes,40,Two year,DSL,No,No,No,No,No,Mailed check,48.75,1997.9,0
CUST-100101,Male,0,Yes,No,66,Two year,No,Yes,No,No,No,No,Electronic check,30.96,2033.65,0
CUST-100102,Female,0,Yes,No,36,One year,DSL,Yes,Yes,No internet service,No internet service,No,Bank transfer (automatic),59.1,2113.57,0
CUST-100103,Female,0,Yes,Yes,46,One year,DSL,No,Yes,No,Yes,Yes,Electronic check,57.8,2618.94,0
CUST-100104,Male,0,Yes,No,9,Month-to-month,No,Yes,No internet service,No,No,No,Electronic check,24.11,219.08,0
CUST-100105,Male,0,No,No,18,Two year,Fiber optic,No,Yes,Yes,Yes,Yes,Mailed check,103.75,1879.11,0
CUST-100106,Female,0,No,No,43,Month-to-month,Fiber optic,Yes,No,Yes,Yes,No,Electronic check,83.84,3617.69,1
CUST-100107,Male,0,Yes,Yes,33,One year,Fiber optic,No,No,No,No internet service,No,Credit card (automatic),63.72,2083.39,0
CUST-100108,Female,0,No,Yes,3,Month-to-month,DSL,Yes,No,Yes,No internet service,Yes,Credit card (automatic),67.34,191.39,1
CUST-100109,Male,1,No,Yes,19,Month-to-month,Fiber optic,No,No,No,Yes,Yes,Electronic check,74.15,1383.6,1
CUST-100110,Male,0,Yes,No,27,Month-to-month,Fiber optic,Yes,No,Yes,No,No,Bank transfer (automatic),85.21,2300.08,1
CUST-100111,Male,0,No,No,65,Month-to-month,DSL,No,Yes,No,No,No,Credit card (automatic),50.38,3262.42,0
CUST-100112,Male,0,Yes,No,54,Month-to-month,No,No,No,Yes,No,Yes,Bank transfer (automatic),29.45,1614.68,0
CUST-100113,Female,0,No,No,50,Month-to-month,Fiber optic,Yes,Yes,No internet service,Yes,No,Electronic check,92.3,4612.25,0
CUST-100114,Male,1,No,No,61,Two year,DSL,Yes,No internet service,No internet service,No,Yes,Electronic check,56.97,3454.31,0
CUST-100115,Male,0,No,Yes,20,Month-to-month,Fiber optic,Yes,No,No,No,No,Bank transfer (automatic),81.57,1598.92,1
CUST-100116,Female,0,Yes,No,24,One year,No,No,No,Yes,No internet service,Yes,Electronic check,25.18,591.34,0
CUST-100117,Female,0,Yes,No,35,Month-to-month,DSL,Yes,No internet service,No internet service,No internet service,No,Electronic check,57.15,1987.24,1
CUST-100118,Male,0,Yes,No,59,Month-to-month,Fiber optic,Yes,No,Yes,No,Yes,Bank transfer (automatic),81.69,4817.93,1
CUST-100119,Female,0,No,No,20,One year,No,Yes,Yes,No,Yes,Yes,Electronic check,39.8,815.65,0
CUST-100120,Male,1,No,No,26,Month-to-month,No,Yes,No,Yes,Yes,Yes,Credit card (automatic),46.78,1219.65,0
CUST-100121,Female,1,Yes,Yes,4,Month-to-month,Fiber optic,No,No internet service,No,Yes,Yes,Bank transfer (automatic),66.48,283.6,1
CUST-100122,Male,1,Yes,Yes,66,Month-to-month,DSL,No,No,Yes,Yes,Yes,Bank transfer (automatic),53.66,3507.28,0
CUST-100123,Female,0,Yes,No,10,One year,DSL,No,Yes,Yes,No,Yes,Mailed check,48.61,456.66,0
CUST-100124,Female,1,No,No,48,Month-to-month,DSL,No,No,No,No,No,Electronic check,54.27,2598.68,1
CUST-100125,Female,0,No,No,37,Month-to-month,Fiber optic,No,No,No,Yes,No,Bank transfer (automatic),68.44,2511.65,0
CUST-100126,Female,0,Yes,No,20,One year,Fiber optic,No,No,No,No,Yes,Electronic check,72.54,1428.65,0
CUST-100127,Male,1,No,No,65,Month-to-month,DSL,Yes,Yes,No,Yes,No,Credit card (automatic),76.37,4983.86,0
CUST-100128,Female,0,No,Yes,4,Month-to-month,No,Yes,Yes,Yes,Yes,Yes,Electronic check,43.98,179.11,1
CUST-100129,Male,0,No,Yes,51,Month-to-month,Fiber optic,No,No,Yes,No,Yes,Mailed check,70.71,3622.91,1
CUST-100130,Male,0,Yes,No,30,Month-to-month,No,No,No,No,No internet service,Yes,Electronic check,18.0,498.24,1
CUST-100131,Male,0,Yes,No,34,One year,No,Yes,Yes,No internet service,No,Yes,Credit card (automatic),35.6,1230.12,0
CUST-100132,Male,0,No,No,4,One year,Fiber optic,Yes,No internet service,No,Yes,Yes,Electronic check,90.87,388.63,1
CUST-100133,Male,1,Yes,No,43,One year,Fiber optic,Yes,Yes,No,No internet service,Yes,Mailed check,89.81,3833.16,0
CUST-100134,Female,0,Yes,No,43,Month-to-month,DSL,Yes,No,No internet service,No,Yes,Electronic check,57.86,2493.13,1
CUST-100135,Male,0,Yes,No,49,One year,DSL,No,Yes,No,No,No,Electronic check,45.06,2196.3,0
CUST-100136,Male,0,No,No,11,One year,Fiber optic,Yes,Yes,Yes,No,Yes,Electronic check,91.5,988.19,0
CUST-100137,Female,0,Yes,Yes,37,Two year,No,Yes,No internet service,No,No,No,Bank transfer (automatic),26.2,987.41,0
CUST-100138,Female,0,Yes,Yes,39,One year,DSL,No,No,No internet service,Yes,No,Credit card (automatic),63.64,2487.06,0
CUST-100139,Male,0,Yes,No,54,Two year,Fiber optic,No,No internet service,No,No,No,Mailed check,78.77,4235.6,0
CUST-100140,Male,1,No,No,68,Month-to-month,DSL,No,No,No,No,No,Mailed check,41.28,2807.1,0
CUST-100141,Female,1,Yes,Yes,72,Month-to-month,No,Yes,Yes,No,No,No,Mailed check,29.0,2102.7,0
CUST-100142,Male,0,No,No,42,One year,Fiber optic,Yes,No internet service,No,No internet service,No,Credit card (automatic),74.85,3161.28,0
CUST-100143,Male,1,No,No,4,Month-to-month,No,No,No,No internet service,No internet service,Yes,Electronic check,18.49,85.29,1
CUST-100144,Male,0,No,No,19,One year,DSL,No,No,No,Yes,Yes,Mailed check,60.13,1152.62,0
CUST-100145,Female,0,Yes,Yes,60,Two year,DSL,No,No,Yes,No,No,Mailed check,53.17,3209.12,0
CUST-100146,Male,0,No,Yes,46,Month-to-month,Fiber optic,No,Yes,No internet service,Yes,No,Electronic check,77.03,3554.67,1
CUST-100147,Female,0,No,No,34,One year,No,No,Yes,No internet service,No internet service,No,Mailed check,26.0,902.02,0
CUST-100148,Female,0,No,No,66,Month-to-month,Fiber optic,No,Yes,Yes,No,No,Electronic check,88.8,5848.5,0
CUST-100149,Male,1,No,Yes,57,Month-to-month,No,Yes,No,Yes,Yes,No,Credit card (automatic),45.05,2542.57,0
CUST-100150,Female,0,Yes,No,8,Month-to-month,Fiber optic,No,No internet service,No,No,Yes,Mailed check,74.0,615.26,1
CUST-100151,Female,0,Yes,Yes,54,Two year,Fiber optic,No,Yes,No,No,Yes,Electronic check,66.78,3589.03,0
CUST-100152,Male,0,No,No,49,Month-to-month,No,No,No,No,No,Yes,Mailed check,19.39,939.78,0
CUST-100153,Female,0,Yes,No,15,One year,No,Yes,No,No,No internet service,Yes,Credit card (automatic),24.39,331.67,0
CUST-100154,Female,1,No,No,9,Month-to-month,No,Yes,No,No,Yes,No,Electronic check,42.67,384.55,1
CUST-100155,Female,1,No,No,24,Month-to-month,Fiber optic,Yes,No,No internet service,Yes,No,Electronic check,82.98,2025.39,1
CUST-100156,Female,0,Yes,No,51,Two year,Fiber optic,No,No internet service,No,No,No,Electronic check,70.33,3603.22,0
CUST-100157,Female,0,Yes,No,63,Two year,No,No,No internet service,Yes,No,No,Mailed check,26.88,1660.89,0
CUST-100158,Male,1,No,No,57,Month-to-month,Fiber optic,No,Yes,No,No,Yes,Electronic check,77.66,4411.74,1
CUST-100159,Male,0,No,Yes,64,Month-to-month,Fiber optic,Yes,No,Yes,Yes,No,Credit card (automatic),100.74,6446.81,1
CUST-100160,Female,1,Yes,No,53,Month-to-month,Fiber optic,No,No,No internet service,No,Yes,Electronic check,67.75,3541.89,0
CUST-100161,Male,0,Yes,No,26,Month-to-month,DSL,No,No,Yes,Yes,Yes,Mailed check,66.31,1731.71,1
CUST-100162,Female,1,No,No,60,Two year,No,No,Yes,Yes,No,No,Mailed check,29.01,1748.03,0
CUST-100163,Female,0,Yes,Yes,21,Month-to-month,No,Yes,No,Yes,No,Yes,Credit card (automatic),38.14,831.34,0
CUST-100164,Male,0,Yes,No,30,Month-to-month,DSL,No,No internet service,No internet service,Yes,No,Mailed check,62.32,1834.65,0
CUST-100165,Female,0,No,No,56,Two year,No,Yes,No,No internet service,Yes,No,Mailed check,37.14,2105.05,0
CUST-100166,Male,0,No,Yes,64,Month-to-month,DSL,No,No,No internet service,No internet service,No,Credit card (automatic),45.16,2899.64,0
CUST-100167,Male,0,No,No,12,Two year,Fiber optic,No,No,Yes,No internet service,No,Electronic check,79.25,970.79,0
CUST-100168,Male,0,No,No,0,One year,DSL,Yes,No internet service,No,No,Yes,Electronic check,54.1,8.58,1
CUST-100169,Female,0,Yes,No,57,One year,No,No,No,No,No,Yes,Electronic check,18.0,1037.82,0
CUST-100170,Female,1,Yes,No,20,Month-to-month,No,Yes,No,Yes,Yes,No,Bank transfer (automatic),46.95,915.11,0
CUST-100171,Female,0,Yes,Yes,60,Month-to-month,Fiber optic,No,No,No,No,No,Electronic check,68.4,4099.73,0
CUST-100172,Female,0,No,Yes,15,Month-to-month,DSL,Yes,No internet service,Yes,Yes,Yes,Bank transfer (automatic),71.16,1074.0,1
CUST-100173,Female,0,Yes,No,30,Month-to-month,Fiber optic,Yes,No,No internet service,No,Yes,Mailed check,78.02,2315.22,1
CUST-100174,Male,1,Yes,No,38,Two year,No,No,Yes,No,No,Yes,Credit card (automatic),22.56,871.53,0
CUST-100175,Male,0,Yes,No,38,Two year,No,No,No,No,Yes,Yes,Electronic check,30.52,1154.88,0
CUST-100176,Female,1,No,No,26,Two year,DSL,No,No,No,No,Yes,Credit card (automatic),38.9,1002.52,0
CUST-100177,Male,0,Yes,No,15,Month-to-month,DSL,Yes,Yes,Yes,Yes,No,Bank transfer (automatic),71.43,1078.99,1
CUST-100178,Male,0,No,Yes,43,One year,DSL,No,Yes,No,Yes,Yes,Electronic check,50.11,2151.38,0
CUST-100179,Male,0,Yes,No,19,Month-to-month,Fiber optic,No,Yes,No,No internet service,No,Electronic check,69.83,1315.04,1
CUST-100180,Female,0,Yes,No,10,One year,Fiber optic,Yes,No internet service,No,No internet service,Yes,Electronic check,78.93,828.35,1
CUST-100181,Male,0,No,Yes,31,Month-to-month,DSL,Yes,Yes,Yes,No internet service,Yes,Electronic check,67.97,2113.51,1
CUST-100182,Female,1,Yes,Yes,33,Two year,Fiber optic,No,No,Yes,Yes,Yes,Credit card (automatic),81.02,2680.51,0
CUST-100183,Female,0,No,No,9,Month-to-month,Fiber optic,No,No internet service,No,No,Yes,Mailed check,68.6,620.69,1
CUST-100184,Female,1,No,No,27,One year,Fiber optic,No,No internet service,No internet service,Yes,No,Electronic check,71.09,1928.44,1
CUST-100185,Male,0,No,Yes,60,Month-to-month,Fiber optic,No,Yes,Yes,Yes,Yes,Credit card (automatic),99.67,6014.88,0
CUST-100186,Female,0,No,No,23,One year,Fiber optic,No,Yes,No internet service,No,Yes,Electronic check,79.13,1811.73,0
CUST-100187,Female,0,No,Yes,26,Month-to-month,Fiber optic,Yes,No internet service,Yes,Yes,No,Bank transfer (automatic),97.71,2543.34,1
CUST-100188,Male,1,No,No,10,Month-to-month,Fiber optic,No,No,No internet service,No,No,Electronic check,75.62,749.38,1
CUST-100189,Male,0,No,Yes,36,Month-to-month,Fiber optic,Yes,No,Yes,No,No,Bank transfer (automatic),86.06,3076.51,1
CUST-100190,Male,0,Yes,Yes,0,Two year,DSL,No,No internet service,Yes,No,Yes,Credit card (automatic),57.3,0.0,0
CUST-100191,Female,1,No,Yes,23,Two year,Fiber optic,No,Yes,Yes,No internet service,Yes,Electronic check,81.7,1892.37,1
CUST-100192,Male,0,No,No,15,Month-to-month,No,Yes,No,Yes,No,Yes,Electronic check,33.58,539.48,1
CUST-100193,Male,0,No,Yes,23,Month-to-month,Fiber optic,Yes,No,No internet service,Yes,Yes,Bank transfer (automatic),90.07,2067.25,1
CUST-100194,Female,0,No,No,18,Month-to-month,DSL,No,Yes,No,No internet service,No,Bank transfer (automatic),44.51,793.83,0
CUST-100195,Male,0,Yes,No,12,Month-to-month,No,Yes,No,No internet service,No,No,Credit card (automatic),27.27,351.0,0
CUST-100196,Female,1,Yes,No,71,Month-to-month,Fiber optic,Yes,No internet service,No,No internet service,Yes,Electronic check,81.23,5772.93,1
CUST-100197,Male,0,No,Yes,52,One year,Fiber optic,No,No,No,No,Yes,Electronic check,66.16,3463.97,0
CUST-100198,Female,0,No,No,56,Two year,Fiber optic,No,No,No,No,No,Electronic check,79.18,4440.31,0
CUST-100199,Male,1,Yes,No,61,Month-to-month,No,Yes,No internet service,No internet service,No,No,Bank transfer (automatic),30.53,1904.58,0
CUST-100200,Male,1,No,No,5,Month-to-month,DSL,No,No,No,No,No,Electronic check,41.45,194.9,1
CUST-100201,Female,0,No,No,48,Month-to-month,Fiber optic,No,Yes,Yes,No,No,Electronic check,79.44,3810.08,1
CUST-100202,Male,0,Yes,Yes,13,One year,No,No,No,Yes,No internet service,Yes,Credit card (automatic),19.91,260.78,0
CUST-100203,Female,0,No,No,45,Two year,No,No,No internet service,Yes,Yes,No,Credit card (automatic),35.76,1621.71,0
CUST-100204,Female,0,Yes,No,4,Two year,Fiber optic,Yes,No internet service,No,No internet service,No,Credit card (automatic),85.26,332.77,0
CUST-100205,Male,0,Yes,No,65,One year,Fiber optic,No,Yes,No,No,Yes,Bank transfer (automatic),76.91,4992.31,0
CUST-100206,Male,0,Yes,No,17,Two year,Fiber optic,No,Yes,No,Yes,Yes,Bank transfer (automatic),93.37,1583.46,0
CUST-100207,Female,1,No,Yes,12,Two year,Fiber optic,Yes,No,Yes,No internet service,Yes,Electronic check,95.39,1155.54,0
CUST-100208,Male,0,Yes,No,44,One year,DSL,No,No,No,Yes,No,Credit card (automatic),50.87,2237.0,0
CUST-100209,Female,1,No,No,66,Month-to-month,No,No,Yes,No,Yes,Yes,Bank transfer (automatic),37.58,2470.16,0
CUST-100210,Female,0,Yes,No,22,Month-to-month,DSL,No,Yes,Yes,Yes,Yes,Credit card (automatic),63.98,1399.31,0
CUST-100211,Male,1,No,No,3,One year,DSL,Yes,No internet service,No,Yes,No,Mailed check,56.81,158.15,0
CUST-100212,Male,1,No,No,50,Month-to-month,Fiber optic,No,No,Yes,No,No,Electronic check,85.46,4242.56,1
CUST-100213,Female,1,Yes,No,16,Month-to-month,DSL,No,No internet service,No internet service,Yes,Yes,Electronic check,45.78,739.56,1
CUST-100214,Male,0,Yes,Yes,38,One year,Fiber optic,No,No,No,No,No,Bank transfer (automatic),75.91,2880.86,0
